"ind","y","x"
"1",76962171.5777511,19.3475116067566
"2",66452955.2567867,21.6378386970609
"3",2774884187.87407,37.2671426529996
"4",119741726833.014,68.3187239055435
"5",3047438999.64816,22.3216118430719
"6",24237372991.4304,44.5062335487455
"7",931227302.396137,27.3199117300101
"8",14135934.0425441,13.4427019185387
"9",26409779071.9633,57.8150434209965
"10",15305167405.8934,51.4280367316678
"11",10861914324.4559,41.5351106110029
"12",12994489.3232187,12.497488562949
"13",14950323985.2621,53.4961946564727
"14",16140530.9539926,16.1853597522713
"15",18124917252.3877,53.0014138459228
"16",64835757.8856843,17.3245913954452
"17",70683429.4138404,21.556618323084
"18",25064222770.7225,51.5665346779861
"19",21137145340.9943,51.5015987236984
"20",57766326187.1868,68.5845271537012
"21",28599878346.9342,52.0067627099343
"22",117652357.452401,20.0941604818217
"23",65206139818.8768,68.4876074314748
"24",58020743256.5882,56.2687884108163
"25",63171321930.4402,57.1760302199982
"26",197689.759066664,5.48601196962154
"27",34496845648.6472,52.2212969977409
"28",58945195629.0573,59.4467503624037
"29",5269727943.90977,31.5705223148689
"30",47350178185.187,52.6814004546031
"31",6387803661.38376,40.9874308528379
"32",579425870.938589,24.7193375276402
"33",30078526.1437572,10.5635277717374
"34",28042280915.1729,57.1230698050931
"35",10570473094.2117,40.163660144899
"36",21624045060.9486,23.0914764944464
"37",26554715426.6368,46.9634995819069
"38",33735068544.2915,55.8961796713993
"39",100926141.514682,20.3941667242907
"40",45816847364.73,56.4410253451206
"41",89954884.2680499,19.7452747169882
"42",35672263387.8374,50.7259517232887
"43",15617887992.4022,46.9948163395748
"44",10061067912.0137,42.9660350224003
"45",166019140.505345,14.4668300659396
"46",877509932.930758,25.3142616269179
"47",15468986449.6928,47.867459084373
"48",14265716768.86,44.5019271946512
"49",26784162708.1868,59.4126664241776
"50",193178684.614083,21.2612672499381
"51",28978715444.5634,55.0724743423052
"52",24069227110.3078,55.7178931916133
"53",7000695552.01718,43.6248504696414
"54",16799068345.7081,42.2945365682244
"55",16180575972.6279,52.3449767753482
"56",586751136.733943,23.504000834655
"57",8052075901.19688,48.5242337710224
"58",4096841718.43388,35.7083749049343
"59",284858.824180075,13.9930528146215
"60",170520003.904588,19.5277312793769
"61",217432263910.246,68.975555552214
"62",162067344.76131,22.3180059366859
"63",8211657813.7098,41.9552061613649
"64",8091477.59617983,13.2863780274056
"65",154324093.67938,20.119263920933
"66",48796463.6710536,15.5035236873664
"67",2105633424.07974,34.6023849002086
"68",97234.8330223942,4.21327953961386
"69",107933645121.959,65.9550639897174
"70",298696003.879777,30.9787491010502
"71",37837513984.8823,69.0889111761864
"72",1574972094.01165,29.5839851396158
"73",2154537130.27453,37.1821455215104
"74",67625541066.0761,53.946744792629
"75",6037681614.74065,47.2141594183631
"76",6108887478.64025,33.0900962254964
"77",9660683.5732185,12.6392237050459
"78",9508136677.17861,50.6778731616214
"79",2051316860.5617,31.9714252976701
"80",1264131489.05506,30.126487116795
"81",813769247.213759,28.6548138153739
"82",215317580.740954,20.5020971852355
"83",17176645.2695072,13.5615682252683
