"","x","y"
"1",39.58,60610709437.96
"2",54.88,537546959802.62
"3",26.48,13636447507.73
"4",56.09,1058730313721.23
"5",13.79,190964876.09
"6",46.96,246663964603.24
"7",35.99,80353127762.36
"8",58.8,1278214490975.58
"9",28.1,30993908968.9
"10",55.53,471666563003.72
"11",53.03,1945208748617.61
"12",22.62,6015588131.91
"13",1.87,3938.2
"14",42.69,159601253296.56
"15",12.02,126872257.91
"16",54.21,1778228388358.15
"17",31.03,38111728891.07
"18",16.1,349718722.16
"19",34.44,108426104464.05
"20",24.39,8196081150.67
"21",48.17,151095500070.05
"22",42.9,244423861036.85
"23",43.93,162543908939.03
"24",34.59,33067670632.13
"25",33.4,49013070396.79
"26",12.61,330973572.05
"27",54.34,867336684272.11
"28",25.75,9120082306.51
"29",53,2699799980361.46
"30",40.95,226898512046.79
"31",20.17,3380399505.39
"32",27.69,15673359188.71
"33",55.97,1372479185714.54
"34",25.73,11063430277.16
"35",50.55,151250361640.21
"36",14.76,675263115.67
"37",56.46,482632073105.92
"38",37.12,78670483269.01
"39",50.15,484904480944.57
"40",51.84,641226160584.48
"41",23.42,3847364100.71
"42",35.79,23206948278.48
"43",20.37,2525198399.84
"44",22.29,2926598836.72
"45",39.39,308422017224.38
"46",10.38,190741966.76
"47",16.21,228583029.71
"48",49.78,627658092590.42
"49",50.18,870492592746.32
"50",53.1,1291210358795.53
"51",27.94,26008449589.45
"52",41.98,197655624256.04
"53",38.9,82496034585.6
"54",40.19,233328259638.22
"55",58.49,1188045239339.66
"56",47.09,258060346824.68
"57",56.31,792720070036.47
"58",56.13,470112077972.18
"59",55.91,1919364141761.23
"60",18.87,2009513692.03
"61",14.78,1489437803.21
"62",14.45,378821890.98
"63",65.28,891597020212.57
"64",19.3,1410041356.84
"65",11.84,142467372.92
"66",15.42,709353033.95
"67",57.25,608728316266.87
"68",51.07,1105689021527.41
"69",34.45,91263392600.59
"70",31.55,36266063261.82
"71",25.65,8799613857.69
"72",24.07,22616052353.57
"73",10.51,42716488.53
"74",28.38,150721843071.26
"75",21.53,1856668700.64
"76",35.99,135428122048.24
"77",16.52,413619472.53
"78",11.09,127490001.66
"79",49.13,290019192865.87
"80",49.83,253508278521.25
"81",21.03,3673329660.73
"82",15.22,90428487.68
"83",39.66,223939741209.63
"84",24.59,9897685072.24
"85",26.82,10132977142.51
"86",57.67,1162428421974.74
"87",58.41,985634206788.43
"88",31.57,40471749454.04
"89",33.03,56382096266.6
"90",40.39,77051039180.2
"91",33.52,139372315256.77
"92",15.77,736196962.46
"93",14.73,421602376.34
"94",50.47,222823878663.11
"95",30.89,33325708045.36
"96",56.42,895586907311.77
"97",41.5,162111602950.29
"98",18.05,549710816.63
"99",39.93,125358114948.07
"100",20.18,8307435497.58
"101",41.86,166218757698.37
"102",41.36,128851825038.61
"103",15.01,24557043.09
"104",25.35,14208041501.53
"105",28.65,23730160698.02
"106",53.2,1084044558749.03
"107",41.47,69000425191.07
"108",43.44,439070890516.69
"109",57.8,1012315022074.45
"110",17.63,1924143975.1
"111",53.98,703674235604.22
"112",46.09,154270017588.42
"113",43.72,271798420631.47
"114",14.42,877469340.28
"115",15.57,462829715.35
"116",45.61,316364844083.93
"117",17.34,562805948.89
"118",50.72,185314817558.28
"119",43.97,232131041975.03
"120",56.16,782239453156.23
"121",33.02,26907048838.04
"122",14.76,511935248.9
"123",21.98,3272258179.13
"124",40.47,366473331601.36
"125",32.07,46431123776.44
"126",36.13,48548272189.1
"127",39.47,337998116876.08
"128",52.52,1449635163736.39
"129",12.01,152049857.54
