,y,x
1,2.397,97.89
2,2.161,34.03
3,2.505,142.33
4,2.300,70.88
5,2.399,112.47
6,2.422,126.23
7,2.164,21.17
8,2.481,129.25
9,2.450,112.13
10,2.129,21.56
11,2.321,83.89
12,2.357,94.21
13,2.102,11.59
14,2.373,100.24
15,2.463,129.02
16,2.204,41.94
17,2.296,59.82
18,2.358,104.16
19,2.412,121.32
20,2.423,114.97
21,2.427,111.99
22,2.331,84.83
23,2.421,126.00
24,2.135,21.60
25,2.402,113.37
26,2.465,129.74
27,2.213,35.71
28,2.138,14.45
29,2.449,128.73
30,2.345,89.23
31,2.464,116.59
32,2.212,46.71
33,2.291,72.96
34,2.407,105.90
35,2.217,58.38
36,2.297,77.34
37,2.312,80.81
38,2.356,86.00
39,1.977,-11.14
40,2.175,39.66
41,2.049,10.29
42,2.249,65.13
43,2.120,20.43
44,2.223,33.03
45,2.337,79.63
46,2.253,56.83
47,2.305,82.91
48,2.199,41.56
49,2.084,16.63
50,2.292,66.37
51,2.174,31.65
52,2.180,33.76
53,2.067,14.13
54,2.159,25.07
55,2.349,81.26
56,2.109,17.77
57,2.300,79.96
58,2.351,88.47
59,2.382,92.57
60,2.415,107.02
61,2.348,85.20
62,2.325,70.67
63,2.265,72.70
64,2.356,88.02
65,2.289,66.80
66,2.082,16.18
67,2.486,144.00
68,2.311,84.54
69,2.399,108.48
70,2.263,67.92
71,2.447,126.47
72,2.365,76.96
73,2.256,54.90
74,2.180,40.19
75,2.233,44.69
76,2.320,64.47
77,2.152,20.72
78,2.072,17.29
79,2.247,52.18
80,2.409,125.14
81,2.446,129.47
82,2.315,71.41
83,2.434,116.97
84,2.168,41.23
85,2.276,77.81
86,2.343,93.47
87,2.219,52.01
88,2.308,73.59
89,2.248,55.58
90,2.358,93.63
91,2.273,45.06
92,2.164,31.89
93,2.006,-11.72
94,2.233,48.96
95,2.437,123.59
96,2.415,119.06
97,2.075,13.28
98,2.315,71.14
99,2.370,107.67
100,2.326,76.89
101,2.254,57.49
102,2.154,12.52
103,2.081,19.26
104,2.284,57.71
105,2.158,15.07
106,2.314,77.64
107,2.255,60.28
108,2.297,69.46
109,2.481,142.04
110,2.368,88.04
111,2.156,19.91
112,2.325,81.21
113,2.464,126.78
114,2.363,89.60
115,2.134,-11.19
116,2.403,112.93
117,2.468,125.71
118,2.295,67.34
119,2.299,78.64
120,2.380,93.32
121,2.437,122.03
122,2.239,52.53
123,2.097,19.35
124,2.410,105.76
125,2.334,78.79
126,2.331,72.97
127,2.326,87.89
