y,x1,x2,x3,x4,x5,x6
16.352,0.771,2.022,2.405,1.977,1.287,1.783
16.143,0.659,2.138,0.868,1.695,1.317,1.752
12.648,0.772,2.108,0.625,2.074,1.000,1.259
16.417,0.605,2.019,0.587,2.003,1.494,2.521
16.207,0.700,1.986,0.476,1.995,1.579,2.125
15.654,0.624,2.099,0.522,1.785,1.002,2.720
15.716,0.580,2.083,0.561,1.940,1.250,2.044
14.983,0.644,2.073,0.597,1.858,1.222,1.864
15.996,1.000,2.072,0.977,2.043,1.747,0.440
15.430,0.973,2.131,0.939,1.698,1.649,1.175
17.860,0.722,2.000,0.597,2.030,1.759,1.913
16.219,0.812,1.902,0.567,1.964,1.919,1.755
15.808,0.535,1.979,0.612,1.995,1.261,2.822
16.834,0.750,2.063,0.765,1.745,1.904,1.694
16.110,0.768,1.947,0.570,1.940,1.951,2.393
14.983,0.826,2.135,0.567,1.767,1.418,1.075
16.814,0.680,2.065,0.568,1.770,1.590,2.225
17.584,0.611,2.044,0.805,1.744,1.472,2.352
14.984,0.776,2.057,0.538,2.074,1.405,1.446
16.544,0.734,2.017,0.589,1.909,1.652,1.392
15.754,0.949,2.108,0.776,1.779,1.646,1.436
13.525,0.656,2.037,0.530,2.090,1.230,1.861
17.611,0.636,1.955,0.648,1.914,1.857,2.498
15.683,0.905,2.029,0.836,2.285,2.048,1.129
16.935,0.561,2.025,0.447,1.734,1.545,2.627
16.184,0.615,2.014,0.717,1.908,1.208,2.828
16.184,0.774,2.040,0.521,1.634,1.651,2.109
15.125,0.513,2.012,0.494,1.893,1.150,2.330
11.602,0.817,2.083,0.668,2.079,1.284,1.062
15.581,0.459,1.950,0.624,1.893,1.363,2.596
16.884,0.797,2.075,0.562,1.647,1.561,1.455
15.511,0.664,2.050,0.565,1.880,1.427,1.338
18.192,0.828,1.970,0.488,1.899,1.995,1.564
15.471,0.607,2.035,0.467,1.833,1.469,2.954
16.303,0.632,1.944,0.449,2.085,1.451,1.311
16.308,0.616,2.037,0.628,1.665,1.916,2.398
17.268,0.488,1.930,0.431,1.895,1.188,2.919
17.452,0.771,2.085,0.694,1.691,1.985,1.523
17.099,0.638,1.913,0.656,2.031,2.279,2.518
17.469,0.721,1.881,0.652,2.086,2.166,1.237
17.133,0.565,1.920,0.533,1.893,1.868,1.835
17.997,0.502,1.999,0.668,1.743,1.853,2.539
16.132,0.584,1.948,0.714,1.928,1.875,1.818
16.244,0.549,1.927,0.477,1.828,1.653,2.431
16.694,0.647,2.028,0.591,1.556,1.998,2.245
16.963,0.518,1.886,0.468,2.091,1.515,1.925
18.082,0.453,1.978,0.459,1.640,1.476,3.185
17.500,0.487,1.881,0.475,1.950,2.004,2.795
15.695,0.568,2.055,0.526,1.794,1.483,2.353
17.103,0.726,2.035,0.461,1.756,1.935,1.298
17.679,0.493,1.908,0.467,1.974,1.699,1.888
16.160,0.556,2.042,0.556,1.970,1.413,2.046
16.072,0.714,2.090,0.617,1.673,1.713,1.963
18.013,0.504,1.953,0.657,1.887,1.800,2.632
17.414,0.593,2.058,0.462,1.996,1.748,1.433
16.961,0.562,2.060,0.401,1.906,1.498,2.056
17.652,0.484,1.965,0.445,1.869,1.718,2.524
16.716,0.498,1.877,0.496,1.835,1.954,2.779
21.649,0.488,1.903,0.557,2.017,2.090,2.011
18.349,0.480,1.864,0.413,1.972,1.647,1.874
18.967,0.449,1.874,0.595,1.800,1.882,3.055
17.520,0.572,2.034,0.609,1.704,1.444,1.524
19.174,0.508,1.824,0.495,1.923,2.275,2.683
18.440,0.436,1.811,0.532,1.778,2.236,3.048
17.855,0.510,2.022,0.609,1.674,1.576,2.283
17.968,0.425,1.912,0.377,1.716,1.663,3.127
18.219,0.469,1.945,0.509,1.939,1.746,2.277
17.563,0.544,1.868,0.547,1.811,2.150,2.408
18.863,0.504,1.861,0.430,1.711,2.386,3.091
17.724,0.637,1.858,0.385,1.951,2.347,2.091
18.302,0.601,1.958,0.550,1.630,2.127,1.924
19.412,0.645,1.991,0.517,2.008,2.225,1.621
19.450,0.444,1.855,0.505,1.933,2.172,2.153
17.903,0.486,1.949,0.452,1.696,1.863,2.525
18.803,0.371,1.963,0.435,1.815,1.585,3.157
18.036,0.512,1.917,0.447,1.892,1.825,2.286
18.534,0.490,1.811,0.383,1.889,1.889,2.507
18.286,0.522,1.952,0.511,1.576,2.104,2.542
19.070,0.445,1.970,0.418,1.811,2.072,1.836
17.033,0.456,1.766,0.463,1.810,2.383,2.693
19.403,0.388,1.817,0.417,1.905,1.931,3.310
18.384,0.419,2.003,0.477,1.997,1.734,2.414
18.322,0.544,1.924,0.472,1.616,2.113,2.512
18.219,0.499,1.710,0.469,1.953,2.532,2.021
18.159,0.456,1.915,0.440,1.880,1.747,2.338
19.517,0.454,1.809,0.401,1.884,2.123,2.145
20.996,0.424,1.780,0.382,1.787,2.423,2.735
18.857,0.495,1.762,0.516,1.741,2.750,2.427
19.314,0.391,1.733,0.414,1.922,2.214,3.317
18.525,0.438,1.895,0.391,1.591,1.952,2.399
18.364,0.410,1.952,0.427,1.992,1.679,2.478
19.482,0.494,1.878,0.447,1.862,2.506,2.086
19.713,0.481,1.770,0.435,1.883,2.489,2.464
19.879,0.363,1.703,0.329,1.804,2.197,3.308
18.924,0.571,1.857,0.447,1.982,2.598,1.765
19.564,0.398,1.863,0.418,1.934,2.015,2.742
17.981,0.443,1.884,0.427,1.705,2.220,2.285
21.988,0.394,1.806,0.437,1.662,2.408,2.881
18.957,0.386,1.752,0.369,1.689,2.084,2.724
17.457,0.432,2.000,0.402,1.506,1.919,3.355
21.159,0.399,1.772,0.470,1.924,2.400,2.022
20.868,0.388,1.704,0.352,1.728,2.568,2.446
19.874,0.412,1.690,0.425,1.714,2.736,2.890
19.795,0.389,1.887,0.372,1.707,2.415,2.551
20.570,0.366,1.822,0.423,1.801,1.848,3.396
19.284,0.435,1.855,0.452,1.824,2.275,2.018
20.181,0.403,1.829,0.386,1.634,2.403,3.404
21.576,0.429,1.707,0.467,1.710,2.654,3.326
20.745,0.412,1.746,0.455,1.633,2.961,2.497
19.519,0.395,1.665,0.375,1.839,2.482,2.896
20.475,0.381,1.794,0.344,1.942,2.016,2.381
19.204,0.505,1.748,0.365,1.772,2.737,1.883
21.366,0.365,1.708,0.327,2.051,2.391,2.478
21.581,0.469,1.782,0.453,1.547,2.900,2.393
19.872,0.502,1.894,0.462,1.534,2.880,1.806
21.719,0.387,1.681,0.452,1.807,2.851,3.333
21.931,0.421,1.790,0.390,1.606,2.960,2.271
19.842,0.401,1.681,0.341,1.875,2.727,2.576
21.576,0.322,1.765,0.328,1.922,1.955,3.520
21.597,0.467,1.901,0.448,1.495,2.712,1.690
19.905,0.400,1.796,0.308,1.570,2.636,2.437
20.148,0.402,1.758,0.403,1.628,2.642,2.645
19.409,0.378,1.874,0.338,1.875,2.067,2.012
19.437,0.466,1.865,0.439,1.478,2.690,2.158
20.831,0.449,1.669,0.387,2.012,3.018,1.964
21.191,0.384,1.874,0.340,1.882,2.327,2.063
21.220,0.364,1.805,0.346,1.872,2.457,2.006
19.288,0.473,1.902,0.355,1.851,2.311,2.032
20.629,0.406,1.616,0.347,1.771,2.995,2.915
21.074,0.377,1.714,0.311,1.585,2.397,3.385
20.908,0.355,1.706,0.321,1.757,2.574,2.059
22.807,0.383,1.629,0.371,1.657,3.104,3.415
19.344,0.404,1.815,0.417,1.666,2.837,1.923
19.678,0.386,1.803,0.355,1.388,2.419,3.537
20.547,0.370,1.836,0.432,1.629,2.205,2.333
22.081,0.396,1.750,0.381,1.473,2.992,2.566
20.960,0.365,1.695,0.367,1.825,2.971,2.218
20.798,0.404,1.787,0.378,1.586,2.569,1.994
20.602,0.348,1.694,0.295,1.849,2.811,2.583
21.110,0.462,1.831,0.382,1.874,2.738,1.770
21.042,0.404,1.652,0.326,1.806,2.899,2.010
19.193,0.417,1.671,0.407,1.855,2.983,1.994
21.758,0.342,1.586,0.314,1.877,2.800,2.939
21.312,0.397,1.833,0.381,1.479,2.712,2.816
21.351,0.318,1.608,0.332,1.564,2.955,3.523
22.776,0.380,1.800,0.292,1.630,2.895,2.572
22.167,0.430,1.689,0.398,1.735,3.263,1.757
20.968,0.377,1.599,0.301,1.743,3.120,3.338
20.082,0.371,1.806,0.322,1.750,2.434,2.628
22.343,0.373,1.625,0.380,1.623,3.265,2.889
21.804,0.397,1.759,0.389,1.600,3.132,2.264
20.524,0.410,1.819,0.424,1.524,2.932,2.016
21.486,0.324,1.711,0.309,1.445,2.629,3.125
21.766,0.357,1.750,0.285,1.696,2.631,2.463
20.046,0.357,1.732,0.412,1.902,2.541,1.988
21.936,0.318,1.667,0.313,1.727,2.513,2.985
22.156,0.368,1.761,0.354,1.769,2.583,2.808
23.035,0.324,1.525,0.293,1.693,3.098,3.890
20.306,0.336,1.636,0.311,1.761,2.511,3.115
22.978,0.353,1.541,0.280,1.625,3.399,3.165
20.842,0.313,1.706,0.311,1.660,2.481,3.574
21.969,0.386,1.586,0.373,1.711,3.307,2.648
20.676,0.365,1.785,0.329,1.365,2.682,2.585
22.979,0.396,1.644,0.322,1.555,3.197,2.509
21.745,0.349,1.705,0.317,1.778,2.689,2.359
22.844,0.323,1.594,0.285,1.347,3.342,3.882
25.358,0.298,1.519,0.295,1.503,3.353,2.983
22.944,0.363,1.601,0.324,1.765,2.952,3.217
21.737,0.407,1.781,0.376,1.487,3.479,2.196
21.725,0.357,1.600,0.302,1.787,2.885,2.845
20.708,0.353,1.727,0.306,1.835,2.705,2.266
21.578,0.350,1.672,0.302,1.564,3.271,2.917
22.045,0.283,1.721,0.314,1.515,2.556,3.737
22.276,0.383,1.741,0.387,1.334,3.414,2.633
22.865,0.322,1.562,0.267,1.917,3.324,2.305
21.374,0.337,1.787,0.319,1.393,2.610,2.732
23.075,0.344,1.537,0.320,1.531,3.516,3.066
23.820,0.359,1.669,0.337,1.382,3.374,3.128
21.785,0.327,1.515,0.359,1.759,3.416,2.467
22.430,0.332,1.741,0.323,1.634,2.805,2.212
23.527,0.330,1.621,0.362,1.505,3.019,3.622
22.766,0.313,1.748,0.293,1.551,2.621,3.411
23.227,0.288,1.473,0.280,1.827,3.209,3.679
22.920,0.283,1.689,0.292,1.342,2.591,3.369
25.403,0.298,1.526,0.291,1.448,3.402,3.566
23.725,0.281,1.546,0.273,1.536,2.812,4.117
20.806,0.345,1.736,0.315,1.751,2.807,2.331
23.501,0.299,1.663,0.265,1.422,2.713,3.060
22.976,0.301,1.597,0.302,1.671,3.184,3.780
23.550,0.296,1.501,0.258,1.813,3.119,3.021
22.189,0.355,1.670,0.328,1.700,3.072,2.384
22.834,0.318,1.723,0.339,1.565,3.039,3.053
23.253,0.358,1.652,0.321,1.578,3.277,2.810
22.941,0.292,1.457,0.263,1.732,3.090,3.844
24.008,0.281,1.482,0.278,1.714,2.948,3.907
22.809,0.363,1.622,0.279,1.706,3.427,2.209
