"Strategy","DrugA","DrugB","Control"
"S1",10.12,7.89,6.25
"S1",8.9,10.75,5.17
"S1",5.68,10.43,4.35
"S1",7.85,8.81,5.77
"S1",8.39,7.57,4.84
"S1",8.29,10.04,5.53
"S1",6.58,6.87,8.65
"S1",7.45,10.46,4.15
"S1",8.11,9.77,4.56
"S1",8.28,11.02,5.72
"S1",8.07,5.4,2.18
"S1",7.23,7.23,6.85
"S1",9.41,12.17,4.12
"S1",6.87,10.32,3.64
"S2",8.43,9.58,5.26
"S2",12.14,7.19,2.3
"S2",9.75,9.95,4.01
"S2",10.69,9.81,6.49
"S2",10.69,9.34,3.66
"S2",9.44,10.16,6.54
"S2",10.93,7.76,4.72
"S2",10.56,7.87,5.46
"S2",8.81,8.17,5.21
"S2",9.26,8.84,3.66
"S2",6.65,7.41,5.77
"S2",10.3,9.07,7.25
"S2",6.25,7.95,4.22
"S2",10.41,6.78,4.74
