"Protein","Chicken","Pork","Wheat","Soybean"
"Low",9.7,11.92,3.99,2.76
"Low",9.2,9.91,7.72,3.71
"Low",10.81,8.83,1.4,7.82
"Low",10.3,13.11,6.78,6.27
"Low",11.64,10.8,5.41,3.77
"Low",12.37,8.99,6.27,4.16
"Low",11.98,7.04,3.02,7.29
"Low",9.57,9.33,6.97,5.29
"Low",10.1,9.8,5.81,7.59
"Low",8.46,10,9.27,4.78
"Low",10.05,12.06,7.15,5.7
"Low",10.03,11.67,9.07,5.95
"Low",10.43,10.47,4.29,3.86
"High",13.86,11.21,9.71,10.6
"High",13.97,14.94,11.04,7.19
"High",13.27,14.8,9.62,8.18
"High",16.75,14.09,10.73,8.18
"High",10.97,12.89,11.06,10.21
"High",12.48,15.03,10.91,7.68
"High",14.63,16.95,10.75,11.71
"High",14.53,14.51,11.9,9.37
"High",10.88,15.3,8.24,11.92
"High",13.23,17.93,14.01,7.02
"High",12.46,12.21,11.6,9.27
"High",12.94,16.16,7.53,9.64
"High",14.35,12.95,10.47,7.87
