x1,x2,x3,x4,x5,y
35,0.3,82,0.2,0.3,76.5
35,0.3,82,0.3,0.5,76
35,0.3,88,0.2,0.5,79.9
35,0.3,88,0.3,0.3,83.5
35,0.7,82,0.2,0.5,89.5
35,0.7,82,0.3,0.3,84.2
35,0.7,88,0.2,0.3,85.7
35,0.7,88,0.3,0.5,99.5
55,0.3,82,0.2,0.5,89.4
55,0.3,82,0.3,0.3,97.5
55,0.3,88,0.2,0.3,103.2
55,0.3,88,0.3,0.5,108.7
55,0.7,82,0.2,0.3,115.2
55,0.7,82,0.3,0.5,111.5
55,0.7,88,0.2,0.5,102.3
55,0.7,88,0.3,0.3,108.1
25,0.5,85,0.25,0.4,80.2
65,0.5,85,0.25,0.4,89.1
45,0.1,85,0.25,0.4,77.2
45,0.9,85,0.25,0.4,85.1
45,0.5,79,0.25,0.4,71.5
45,0.5,91,0.25,0.4,84.5
45,0.5,85,0.15,0.4,77.5
45,0.5,85,0.35,0.4,79.2
45,0.5,85,0.25,0.2,71
45,0.5,85,0.25,0.6,90.2
